date,gold price,demand,inflation
2015-09-30,0.21161810628291686,19743500,-7.847996695580339
2015-10-01,0.21320140583549146,20488800,-8.2660980102217
2015-10-02,0.20868261750274258,19677900,-6.349858234759864
2015-10-03,0.20994635551242855,16482700,-4.621705908625218
2015-10-04,0.20953215003172798,12999000,-4.621705908625218
2015-10-05,0.2112143052122555,23335900,-4.537827361321378
2015-10-06,0.21456487012839096,27535100,-4.963943380090363
2015-10-07,0.21146126557060488,22999200,-5.1745443342830715
2015-10-08,0.21167468436286374,18515300,-5.027801808783594
2015-10-09,0.21095821971388484,17353100,-5.577325503794239
2015-10-10,0.2118316906679504,15912700,-5.298931299907861
2015-10-11,0.21365561931968738,16827300,-5.298931299907861
2015-10-12,0.21058287708476525,17388300,-4.59459259508087
2015-10-13,0.21402297577211196,28198500,-5.165541159827802
2015-10-14,0.2135319071487732,27462600,-4.336900215532868
2015-10-15,0.21409209705982063,25223500,-4.517317922573416
2015-10-16,0.22209276230085837,35901500,-4.586862105123945
2015-10-17,0.22865834760976403,43199600,-4.417352102501604
2015-10-18,0.22105695401148365,22434300,-4.417352102501604
2015-10-19,0.22452654969363298,25258800,-5.249131667362306
2015-10-20,0.22874619074304967,30889800,-5.305466237942125
2015-10-21,0.2280507097820079,25637300,-6.66666861823042
2015-10-22,0.2348902931497793,37808600,-6.282139313523194
2015-10-23,0.23768244699705784,29442500,-5.307281332671954
2015-10-24,0.24211637572176575,25942400,-5.514937056253277
2015-10-25,0.24385797366857528,45717100,-5.514937056253277
2015-10-26,0.24447299725190125,32108800,-5.214421192168539
2015-10-27,0.25178949442094334,46331800,-5.068743633170514
2015-10-28,0.2587868641514298,50808100,-4.238527306828088
2015-10-29,0.27358352889199694,64495900,-6.2974838341343435
2015-10-30,0.28735437113310336,78305000,-4.724144623928983
2015-10-31,0.2752220631690073,48598100,-2.5275361799173224
2015-11-01,0.2850906699569508,37001100,-2.5275361799173224
2015-11-02,0.31800403225373086,101918000,-3.0142539060468265
2015-11-03,0.36206875773347563,206162000,-4.720375584894143
2015-11-04,0.37195028312810663,263900000,-5.216722900500981
2015-11-05,0.349831578563419,151824992,-3.5795354571407367
2015-11-06,0.34430857817825883,122687000,-4.788590642038737
2015-11-07,0.3553530740203369,56625100,-7.010944058794144
2015-11-08,0.3432953474217023,51817600,-7.010944058794144
2015-11-09,0.34953302692514887,68224400,-6.985290088685714
2015-11-10,0.3095194039307046,95797904,-6.157297854200506
2015-11-11,0.2867926882051511,107070000,-6.7165543839596165
2015-11-12,0.3128719400256203,78477800,-6.739146944571395
2015-11-13,0.31157751249899196,52003000,-6.9158494915383955
2015-11-14,0.3080181262207878,38612000,-8.793244824630797
2015-11-15,0.29623054278593625,44213100,-8.793244824630797
2015-11-16,0.305205335408953,47980100,-8.54852732726793
2015-11-17,0.31355292359953807,51001600,-9.661880712436599
2015-11-18,0.31305200322992915,43783800,-10.687716851538543
2015-11-19,0.3025500805346997,45011100,-9.684984747858216
2015-11-20,0.2991657338071137,53152900,-9.599389556144654
2015-11-21,0.30372258875698877,28200500,-10.11273282554802
2015-11-22,0.30150130377305445,23439400,-10.11273282554802
2015-11-23,0.3028177495352563,27478900,-10.9144009329332
2015-11-24,0.29791117513151844,29362600,-10.138013481545382
2015-11-25,0.3065913065411899,41666900,-10.57555577377498
2015-11-26,0.3294572540668058,106105000,-10.538189717427526
2015-11-27,0.3389907297290113,55179100,-11.733246471554793
